Nome,Apelido,Time
Joao Marcelo Messias Ferreira,Joao Marcelo,Cruzeiro Saf-MG
João Pedro da Cruz Oliveira,João Pedro Oliveira,Cruzeiro Saf-MG
Joao Wellington Gadelha Melo de Oliveira,JAPA,Cruzeiro Saf-MG
Jose Henrique da Silva Dourado,Henrique Dourado,Chapecoense-SC
Juan Christian Pereira Coelho,Juan Christian,Vila Nova-GO
Kaiki Bruno da Silva,Kaiki Bruno,Cruzeiro Saf-MG
Lucas da Cruz Oliveira,Lucas Oliveira,Cruzeiro Saf-MG
Lucas Silva Borges,Lucas Silva,Cruzeiro Saf-MG
Luciano Castan da Silva,Luciano Castan,Cruzeiro Saf-MG
Luis Fernando Santos Oliveira,Luis Fernando,Cruzeiro Saf-MG
Luiz Filipe da Rosa Machado,Filipe Machado,Cruzeiro Saf-MG
Marlon Rodrigues Xavier,Marlon,Cruzeiro Saf-MG
Mateus da Silva Vital Assumpção,Mateus,Cruzeiro Saf-MG
Matheus Fellipe Costa Pereira,Matheus Pereira,Cruzeiro Saf-MG
Matheus Isaias dos Santos,Matheus,Cruzeiro Saf-MG
Maycon Vinicius Ferreira da Cruz,Nikao,Cruzeiro Saf-MG
Otavio Eleodoro Rezende Costa,OTAVIO,Cruzeiro Saf-MG
Paulo Vitor Fernandes Pereira,Paulo Vitor,Cruzeiro Saf-MG
Pedro Henrique Franklim da Silva,Pedrão,Cruzeiro Saf-MG
